food_code,food_group,food_name,edible_factor,energy_kj,energy_kcal,water_g,protein_g,fat_g,carbohydrate_g,fibre_g,ash_g,ca_mg,fe_mg,mg_mg,p_mg,k_mg,na_mg,zn_mg,se_mcg,vit_a_rae_mcg,vit_a_re_mcg,retinol_mcg,beta_carotene_mcg,thiamin_mg,riboflavin_mg,niacin_mg,folate_dfe_mcg,food_folate_mcg,vit_b12_mcg,vit_c_mg
04073,04 VEGETABLES AND VEGETABLE PRODUCTS,"Kale, Ethiopian (kanzera), leaves, steamed (without salt)",,,,,,,,,,96.0,3.9,42.0,42.0,472.0,5.0,0.52,0.0,92.0,185.0,0.0,1109.0,0.04,0.18,0.6,38.0,38.0,0.0,64.0
04074,04 VEGETABLES AND VEGETABLE PRODUCTS,"Kale (sukuma wiki), boiled, drained (without salt)",,,,,,,,,,364.0,2.0,23.0,57.0,113.0,51.0,0.34,0.0,152.0,304.0,0.0,1823.0,0.07,0.08,0.6,30.0,30.0,0.0,51.0
04075,04 VEGETABLE AND VEGETABLE PROCUCTS,"Kale (sukuma wiki), steamed (without salt)",1.0,105.0,25.0,90.6,2.6,0.3,1.1,4.1,1.4,332.0,2.0,32.0,55.0,176.0,53.0,0.37,0.0,139.0,277.0,0.0,1665.0,0.08,0.1,0.7,33.0,33.0,0.0,64.0
04076,04 VEGETABLE AND VEGETABLE PROCUCTS,"Leeks, bulb and stem, boiled, drained (without salt)",1.0,276.0,66.0,81.4,2.0,0.5,11.4,3.7,1.0,90.0,1.6,10.0,58.0,110.0,11.0,0.27,1.0,22.0,44.0,0.0,262.0,0.12,0.07,0.3,39.0,39.0,0.0,10.0
04077,04 VEGETABLES AND VEGETABLE PRODUCTS,"Mushroom, fresh, boiled, drained (without salt)",,,,,,,,,,21.0,0.3,12.0,129.0,218.0,8.0,0.17,20.0,0.0,0.0,0.0,0.0,0.09,0.36,0.6,16.0,16.0,0.0,0.0
04078,04 VEGETABLE AND VEGETABLE PROCUCTS,"Mushroom, fresh, stewed (without salt)",1.0,183.0,43.0,87.3,2.8,0.5,5.5,2.8,1.1,20.0,0.4,19.0,130.0,393.0,10.0,0.21,20.0,0.0,0.0,0.0,0.0,0.11,0.47,0.8,20.0,20.0,0.0,0.0
04079,04 VEGETABLE AND VEGETABLE PROCUCTS,"Mushroom, dried, boiled, drained (without salt)",1.0,674.0,162.0,49.6,7.0,1.6,18.5,22.4,0.8,14.0,2.3,47.0,361.0,93.0,3.0,3.72,0.0,0.0,0.0,0.0,0.0,0.09,0.06,1.4,47.0,47.0,0.0,0.0
04080,04 VEGETABLES AND VEGETABLE PRODUCTS,"Okra, fresh, boiled, drained (without salt)",,,,,,,,,,70.0,0.5,31.0,52.0,138.0,5.0,0.41,1.0,8.0,15.0,0.0,91.0,0.05,0.04,0.6,40.0,40.0,0.0,12.0
04081,04 VEGETABLE AND VEGETABLE PROCUCTS,"Okra, fresh, stewed (without salt)",,147.0,35.0,88.7,2.2,0.2,6.1,4.0,1.8,84.0,0.7,56.0,65.0,280.0,7.0,0.59,1.0,9.0,18.0,0.0,109.0,0.08,0.06,0.9,57.0,57.0,0.0,17.0
04082,04 VEGETABLE AND VEGETABLE PROCUCTS,"Pumpkin, flesh, yellow w/o seeds, boiled, drained (without salt)",1.0,146.0,35.0,89.5,1.3,0.2,5.6,2.6,0.8,18.0,0.2,8.0,30.0,97.0,11.0,0.17,0.0,123.0,246.0,0.0,1479.0,0.05,0.04,0.5,27.0,27.0,0.0,6.0
04083,04 VEGETABLES AND VEGETABLE PRODUCTS,"Pumpkin, flesh, yellow w/o seeds, boiled, drained (without salt)",,,,,,,,,,15.0,0.2,11.0,27.0,157.0,12.0,0.19,0.0,100.0,201.0,0.0,1204.0,0.06,0.05,0.7,31.0,31.0,0.0,6.0
04084,04 VEGETABLES AND VEGETABLE PRODUCTS,"Pumpkin, leaves, boiled, drained (without salt)",,,,,,,,,,347.0,4.0,81.0,102.0,201.0,9.0,0.64,1.0,121.0,242.0,0.0,1453.0,0.04,0.07,0.9,17.0,17.0,0.0,5.0
04085,04 VEGETABLE AND VEGETABLE PROCUCTS,"Pumpkin, leaves, steamed (without salt)",1.0,135.0,32.0,89.0,3.7,0.6,1.9,2.0,2.8,316.0,3.9,111.0,98.0,313.0,9.0,0.7,1.0,111.0,221.0,0.0,1327.0,0.05,0.09,1.0,19.0,19.0,0.0,6.0
04086,04 VEGETABLE AND VEGETABLE PROCUCTS,"Spider plant, leaves, boiled, drained (without salt)",1.0,172.0,41.0,85.7,4.6,0.7,2.0,4.1,2.9,171.0,1.9,27.0,42.0,228.0,13.0,0.54,2.0,186.0,372.0,0.0,2231.0,0.06,0.07,0.8,165.0,165.0,0.0,24.0
04087,04 VEGETABLE AND VEGETABLE PROCUCTS,"Spider plant, leaves, steamed (without salt)",1.0,157.0,38.0,86.9,4.2,0.7,1.9,3.8,2.6,156.0,1.8,37.0,40.0,353.0,14.0,0.59,1.0,170.0,339.0,0.0,2037.0,0.07,0.09,0.9,181.0,181.0,0.0,31.0
04088,04 VEGETABLE AND VEGETABLE PROCUCTS,"Spinach, leaves, boiled, drained (without salt)",1.0,118.0,28.0,89.3,2.9,0.4,1.2,4.3,1.9,131.0,1.4,45.0,27.0,300.0,46.0,0.47,0.0,179.0,357.0,0.0,2140.0,0.02,0.12,0.3,58.0,58.0,0.0,15.0
04089,04 VEGETABLES AND VEGETABLE PRODUCTS,"Spinach, leaves, stewed (without salt)",,,,,,,,,,161.0,2.1,89.0,35.0,704.0,72.0,0.74,1.0,209.0,419.0,0.0,2510.0,0.03,0.21,0.5,95.0,95.0,0.0,27.0
04090,04 VEGETABLES AND VEGETABLE PRODUCTS,"Spinach, Swiss chard, leaves, boiled, drained (without salt)",,,,,,,,,,117.0,3.5,49.0,47.0,183.0,704.0,0.58,1.0,180.0,360.0,0.0,2160.0,0.02,0.07,0.4,64.0,64.0,0.0,10.0
04091,04 VEGETABLE AND VEGETABLE PROCUCTS,"Spinach, Swiss chard, leaves, stewed (without salt)",1.0,126.0,30.0,88.0,3.9,0.3,0.9,4.5,2.5,144.0,5.4,96.0,62.0,430.0,1101.0,0.9,1.0,211.0,422.0,0.0,2530.0,0.03,0.12,0.7,105.0,105.0,0.0,18.0
