county_code,county_name,county_norm,bdod,cec,cfvo,clay,nitrogen,phh2o,sand,silt,soc,maize_price_median,maize_price_mean,maize_price_cv,maize_price_n,population_total,households,avg_household_size,land_area_sqkm,density,ag_land_ha_total,ag_land_ha_subsistence,ag_land_ha_commercial,farming_households_total,farming_households_subsistence,farming_households_commercial,crop_area_ha,crop_production_mt,n_crops,maize_area_ha,maize_production_mt,napr_year,stunting_actionplan,stunting,wasting,underweight,n_children,maize_yield_t_ha,crop_production_per_capita_kg,maize_production_per_capita_kg,ag_land_share,farming_hh_share,cropland_per_farming_hh_ha,ag_land_subsistence_share
KE035,Kericho,kericho,1.1560799333227496,23.10267987864035,9.78905558201478,42.137501102467766,3.04412631634651,5.555443103843643,29.278051630770314,28.518229083981588,35.24184526644441,,,,,901777.0,206036.0,44.0,2436.1,370.0,135269.0,118044.0,16562.0,150845.0,135641.0,14090.0,24769.0,38611.0,4,493.0,799.0,2023,,19.3,2.4,9.3,400,1.6206896551724137,42.81657216806372,0.886028363996864,0.5552686671318912,0.7321293366207847,0.8967416884881833,0.8726611418728607
KE036,Bomet,bomet,1.173402592208831,23.62136799912745,8.340326934613078,38.09513233716893,2.7643106833178814,5.628519296140771,33.23614140808202,28.657703004853573,33.76438394139354,,,,,875689.0,187641.0,47.0,2530.9,346.0,129945.0,114187.0,14608.0,152564.0,136569.0,14789.0,23342.0,57226.0,4,5822.0,3314.0,2023,,23.3,3.6,10.6,403,0.5692201992442459,65.34968464831692,3.7844485884828973,0.5134339563001303,0.8130632431078496,0.851740908733384,0.8787333102466428
KE037,Kakamega,kakamega,1.190520107890606,17.800590303110702,11.663292874356085,45.20396004215398,2.0495174401037635,5.646527086879941,28.62116874120257,26.062130323598126,25.857361470377988,,,,,1867579.0,433207.0,43.0,3020.0,618.0,219776.0,201093.0,13125.0,335269.0,322193.0,9778.0,54366.0,65861.0,6,291.0,189.0,2023,,11.8,1.8,6.7,396,0.6494845360824743,35.265442586364486,0.1012005382369367,0.7277350993377484,0.7739233207219643,0.6555213873039261,0.9149907178217822
KE038,Vihiga,vihiga,1.1809497846785983,16.904839792975388,10.825384220299474,46.33999644423374,2.288920232310063,5.447040812295049,26.771433368890996,26.829145430840345,30.019297933704717,,,,,590013.0,143365.0,41.0,563.8,1047.0,50521.0,48752.0,1517.0,113753.0,111139.0,1751.0,19355.0,10587.0,4,20.0,15.0,2023,,15.8,2.5,8.7,325,0.75,17.94367242755668,0.02542316864204687,0.8960801702731466,0.7934502842395285,0.4441289460497745,0.9649848577819125
KE039,Bungoma,bungoma,1.1626248943752526,20.998194643447594,13.115488445571108,41.67134354678718,2.5284983651126054,5.7292273779345315,31.83674271648481,26.331098497373155,32.70157794187883,,,,,1670570.0,358796.0,46.0,3023.9,552.0,223269.0,202494.0,19091.0,280445.0,264247.0,12829.0,68448.0,95471.0,6,975.0,1414.0,2023,,18.5,1.7,9.2,444,1.4502564102564102,57.148757609678135,0.8464176897705573,0.738347828962598,0.7816280003121551,0.7961240171869707,0.9069508082178896
KE040,Busia,busia,1.1664962900382014,15.669527500244882,8.783651067685375,38.69158218238809,1.5689579660103832,5.166815432461553,32.33188546870408,20.729921515329615,19.973137672641787,,,,,893681.0,198152.0,45.0,1696.3,527.0,116705.0,111661.0,4232.0,148257.0,143486.0,2892.0,31124.0,80631.0,5,3334.0,2701.0,2023,,16.0,2.9,6.7,428,0.8101379724055189,90.22346900068369,3.0223312345232807,0.6879974061192006,0.7481983527796843,0.7871803692237129,0.9567799151707296
KE041,Siaya,siaya,0.8937615874034777,12.834675678567157,8.15001510374384,30.924286190772875,1.3257892020817994,4.197031485012681,24.30635238293025,15.483058004669573,14.607300457517573,,,,,993183.0,250698.0,39.0,2529.8,393.0,137462.0,131706.0,4581.0,194362.0,188253.0,3750.0,44715.0,97533.0,5,98.0,74.0,2023,,20.4,1.5,7.5,391,0.7551020408163265,98.20244607489255,0.07450792049400765,0.5433710174717369,0.7752834087228458,0.7072473014272337,0.9581266095357263
KE042,Kisumu,kisumu,0.9705544603047846,16.40576462367738,8.648433652758369,31.946648116723225,1.5551006521594462,4.586229370466494,27.549801191189193,17.626985592599986,17.172960338058164,,,,,1155574.0,300745.0,38.0,2085.4,554.0,155704.0,133057.0,17208.0,147117.0,137869.0,6522.0,44149.0,56334.0,5,83.0,34.0,2023,9.0,8.9,3.2,3.5,425,0.40963855421686746,48.749798801288364,0.029422607292998976,0.7466385345737029,0.48917521488304044,1.0583685094176745,0.8545509428145712
KE043,Homa Bay,homa bay,0.800133863727943,13.175183201671775,7.895737632715789,25.688760975701182,1.349058596422179,3.8548215775022725,23.57797433302409,15.43922905362983,14.609783250400607,,,,,1131950.0,262036.0,43.0,3152.5,359.0,275681.0,263463.0,8853.0,193812.0,186793.0,4663.0,43926.0,187197.0,6,4.0,2.0,2023,,11.4,1.4,5.8,406,0.5,165.3756791377711,0.00176686249392641,0.8744837430610627,0.7396388282526065,1.4224145047778258,0.9556806598931373
KE044,Migori,migori,1.0097936491153874,17.109683160640024,7.391116515119476,32.16887114964403,1.6486728695284416,4.85092655247762,28.139825192077257,22.053255797561146,17.48238422499471,,,,,1116436.0,240168.0,46.0,2613.5,427.0,232711.0,215644.0,14196.0,169958.0,160482.0,6928.0,47736.0,176940.0,6,932.0,1186.0,2023,,14.1,2.4,4.3,503,1.2725321888412018,158.48646944383736,1.0623089903944336,0.8904189783814808,0.707662969254855,1.3692265147860059,0.926660106312121
KE045,Kisii,kisii,1.101985930462068,21.686258582586838,8.362733437927021,44.217383639522915,2.9686729254179522,5.351747726774297,23.021766452418305,32.60903976247111,34.75706260438282,,,,,1266860.0,308054.0,41.0,1323.0,958.0,165068.0,154291.0,9494.0,219853.0,210045.0,7981.0,56572.0,36732.0,5,7576.0,5835.0,2023,,16.9,3.6,8.6,319,0.7701953537486801,28.994521888764346,4.605875945250462,1.2476795162509449,0.7136833152629084,0.750810769013841,0.9347117551554511
KE046,Nyamira,nyamira,1.0808173837784372,22.654708209693375,8.429139465875371,44.092330613254205,3.2275739366963405,5.483942878338278,21.691591246290805,34.14212413452027,39.20056998021761,,,,,605576.0,150669.0,40.0,897.3,675.0,82551.0,76896.0,5015.0,110028.0,104355.0,4586.0,39943.0,20875.0,5,9534.0,6613.0,2023,,14.9,1.0,4.3,257,0.6936228235787707,34.471313262084365,10.920181777349168,0.9199933132731528,0.7302630269000259,0.7502726578689061,0.931496892829887
KE047,Nairobi,nairobi,0.9986278654641113,17.602923399724418,5.05398189903545,34.48014061129901,1.2977812225980208,5.0511508831266445,25.949890392083184,17.70770230489791,14.216131153701616,50.78,52.449072847682125,0.08684793945815981,151.0,4397073.0,1506888.0,29.0,703.9,6247.0,34905.0,10822.0,6021.0,32258.0,24030.0,6956.0,675.0,609.0,7,5.0,4.0,2023,,11.8,2.7,5.4,460,0.8,0.13850122570173387,0.0009096960637223899,0.49588009660463134,0.02140703224128137,1.0820571641143282,0.3100415413264575
